Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.288,75.371,75.542,75.734,75.9,76.057,73.917,75.444,76.657,76.821,..
Malaysia,MYS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.82201481,3.70085335,3.71472311,3.75944281,3.83991051,4.08254337,4.37438345,3.90037823,3.95760036,..,..
Malaysia,MYS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.3,..
Malaysia,MYS,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,..
Malaysia,MYS,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9,9,..
Malaysia,MYS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,30,30,29,29,28,29,52,38,26,..,..
Malaysia,MYS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Malaysia,MYS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.86,1.88,1.89,1.9,1.9,1.93,1.97,1.94,1.96,..,..
Malaysia,MYS,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.489,1.576,1.787,1.858,2.021,2.183,2.268,2.29,2.341,..,..
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.288,65.64,65.909,66.232,66.457,66.612,65.553,66.506,66.889,67.095,..
Myanmar,MMR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.19711542,4.76220942,4.6921258,4.53514671,3.814466,4.27808714,5.53530645,4.49158478,4.45748425,..,..
Myanmar,MMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,50.5,48.7,46.8,45.2,43.6,42.1,40.8,39.5,38.1,36.9,..
Myanmar,MMR,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,45.4,43.7,42,40.5,39.1,37.8,36.4,35.3,34.2,33,..
Myanmar,MMR,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,55.2,53.3,51.4,49.6,47.9,46.3,44.8,43.4,42,40.5,..
Myanmar,MMR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,222,215,209,201,195,198,231,193,185,..,..
Myanmar,MMR,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Myanmar,MMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.07,1.07,1.06,1.06,1.05,1.07,..,..,..,..,..
Myanmar,MMR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.638,0.889,0.696,0.757,..,..,..,..,..,..
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.45,69.49,69.966,69.761,69.68,70.097,66.675,69.472,69.833,69.946,..
Philippines,PHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.8982749,3.95484328,3.96042776,3.9538188,4.16646004,5.16214037,5.97500563,5.15588379,5.10122538,..,..
Philippines,PHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.9,27.8,27.8,27.9,28,28,27.9,27.5,27,26.5,..
Philippines,PHL,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,24.9,24.8,24.9,25,25.1,25,24.8,24.5,24.1,23.6,..
Philippines,PHL,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,30.6,30.6,30.7,30.8,30.9,30.9,30.7,30.3,29.8,29.2,..
Philippines,PHL,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,104,98,86,92,92,88,153,92,84,..,..
Philippines,PHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Philippines,PHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.93,1.03,0.98,0.94,0.98,0.99,0.97,..,..,..,..
Philippines,PHL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.609,0.631,0.66,0.695,0.732,0.752,0.792,..,..,..,..
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.7439024390244,82.8463414634146,83.0951219512195,83.2975609756098,83.5951219512195,83.5439024390244,83.0926829268293,82.8951219512195,83.0975609756098,83.3463414634146,..
Singapore,SGP,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.18061399,4.37989521,4.35978413,4.07275724,4.40746737,5.70015287,5.14599705,4.33121586,4.49163246,..,..
Singapore,SGP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.5,2.6,2.7,..
Singapore,SGP,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.4,2.5,..
Singapore,SGP,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.7,2.8,..
Singapore,SGP,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,8,8,8,8,7,13,20,34,6,..,..
Singapore,SGP,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.4,2.5,2.49,2.58,2.69,2.77,2.84,2.83,2.81,..,..
Singapore,SGP,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.255,2.325,2.389,2.443,2.519,2.638,2.781,2.834,..,..,..
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.563,76.769,76.989,77.19,77.197,77.331,77.606,75.291,76.412,76.564,..
Thailand,THA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.8522861,3.93900609,3.85276842,3.87040329,3.78911877,4.35724688,5.15399981,5.35471153,4.53787661,..,..
Thailand,THA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.9,11.5,11.1,10.8,10.4,10.1,9.8,9.5,9.2,9,..
Thailand,THA,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,10.5,10.2,9.9,9.6,9.3,9,8.7,8.5,8.3,8,..
Thailand,THA,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,13.1,12.7,12.3,11.9,11.5,11.2,10.8,10.5,10.2,9.9,..
Thailand,THA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,34,34,34,34,34,36,38,112,34,..,..
Thailand,THA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Thailand,THA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.13,2,2.12,2.1,2.21,2.32,2.34,2.39,2.39,..,..
Thailand,THA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.453,0.433,0.788,0.518,0.548,0.509,0.541,..,..,..,..
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.955,73.984,74.026,74.1,74.211,75.383,74.145,74.502,74.588,74.736,..
Viet Nam,VNM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.71140909,4.86994743,4.99014759,5.02678823,4.97407484,4.33219814,4.53792429,4.53809595,4.56109476,..,..
Viet Nam,VNM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,21.6,21.3,20.9,20.5,20,19.5,18.9,18.4,17.8,17.3,..
Viet Nam,VNM,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,17.6,17.3,17,16.7,16.3,15.9,15.5,15,14.5,14.1,..
