"","","Year","","","","","","","","",""
"","Total Intra-ASEAN","20 271 144","19 478 575","18 114 446","17 880 151","2 949 363","91 665","8 138 818","14 638 859","28 193 293","30 728 331"
"","Viet Nam [VN]","216 877","248 927","375 578","400 346","64 184","583","173 763","344 361","366 525","5 659"
"Myanmar","Brunei Darussalam [BN]","","632","532","454","77","13","26","110","92","151"
"","Cambodia [KH]","","5 531","6 457","7 879","1 802","26","513","1 419","1 862","1 638"
"","Indonesia [ID]","","11 517","12 898","15 558","3 653","486","1 642","2 836","2 983","4 242"
"","Lao PDR [LA]","","2 308","2 665","2 783","505","6","162","679","728","3 929"
"","Malaysia [MY]","43 931","47 010","47 632","44 203","8 497","981","3 892","7 703","6 135","6 646"
"","Philippines [PH]","16 421","18 143","16 748","17 398","3 311","233","1 145","2 618","3 141","3 978"
"","Singapore [SG]","50 198","61 859","58 657","57 890","8 762","217","3 292","8 169","7 381","8 330"
"","Thailand [TH]","243 443","1 524 516","1 719 350","1 924 581","457 149","106 938","154 154","949 337","766 590","533 988"
"","Timor-Leste [TL]","","99","89","92","","","","","15","11 424"
"","Total Country (World)","2 907 207","3 443 133","3 549 428","4 364 101","903 343","130 947","233 487","1 284 731","1 063 072","973 263"
"","Total Intra-ASEAN","402 862","1 730 435","1 918 357","2 123 405","493 581","109 082","168 495","987 267","798 312","574 353"
"","Viet Nam [VN]","48 869","58 919","53 329","52 567","9 825","182","3 669","14 396","9 385","27"
"Philippines","Brunei Darussalam [BN]","8 211","8 679","9 533","8 126","1 037","37","1 884","6 639","6 578","5 853"
"","Cambodia [KH]","3 526","4 712","4 154","5 988","942","40","1 454","3 999","4 268","3 951"
"","Indonesia [ID]","44 348","62 923","76 651","70 819","13 734","1 888","24 596","53 707","57 864","48 964"
"","Lao PDR [LA]","1 173","1 580","1 183","1 454","203","15","484","988","1 171",""
"","Malaysia [MY]","139 133","143 566","145 242","139 882","23 359","1 620","46 805","97 639","99 881","100 603"
"","Myanmar [MM]","7 442","9 571","9 630","13 978","2 877","271","4 255","6 395","9 178","4 080"
"","Singapore [SG]","176 057","168 637","171 795","158 595","19 998","653","53 448","149 230","198 471","198 461"
"","Thailand [TH]","47 913","48 727","59 793","61 292","9 788","1 464","16 300","40 952","47 675","49 650"
"","Timor-Leste [TL]","","","","","","","374","479","702",""
"","Total Country (World)","5 967 005","6 620 908","7 127 678","8 260 913","1 482 535","163 879","2 653 858","5 450 557","5 949 350","6 484 060"
"","Total Intra-ASEAN","461 698","488 346","530 309","526 832","83 344","7 773","188 205","427 689","484 465","445 161"
"","Viet Nam [VN]","33 895","39 951","52 328","66 698","11 406","1 785","38 605","67 661","58 677","33 599"
"Singapore","Brunei Darussalam [BN]","69 891","68 419","74 960","72 603","8 153","1 248","31 640","61 687","58 020","56 125"
"","Cambodia [KH]","","77 619","98 097","","","","","","","83 908"
"","Indonesia [ID]","2 893 646","2 954 400","3 021 455","3 110 416","457 696","33 457","1 104 168","2 300 918","2 490 000","2 436 003"
"","Lao PDR [LA]","","11 377","11 417","","","","","","","12 883"
"","Malaysia [MY]","1 151 584","1 168 384","1 254 022","1 220 664","153 650","24 217","590 958","1 088 162","1 190 000","1 275 378"
"","Myanmar [MM]","113 616","145 721","145 610","155 985","26 112","10 201","85 285","125 487","149 280","169 642"
"","Philippines [PH]","691 643","736 500","778 141","829 304","97 881","11 494","381 988","692 707","778 820","726 065"
"","Thailand [TH]","546 555","531 335","545 650","528 486","63 622","4 379","283 431","450 029","395 500","386 488"
"","Timor-Leste [TL]","","","","","","710","","","","3 828"
"","Total Country (World)","16 403 595","17 424 611","18 508 302","19 113 842","2 742 443","330 059","6 305 744","13 610 404","16 529 942","16 910 000"
"","Total Intra-ASEAN","5 936 364","6 225 114","6 520 966","6 623 930","896 779","89 150","2 848 921","5 276 613","5 454 850","5 494 606"
"","Viet Nam [VN]","469 429","531 359","591 614","591 928","74 424","3 444","312 714","458 585","393 230","344 286"
"Thailand","Brunei Darussalam [BN]","17 994","14 268","14 260","15 608","1 576","26","5 856","14 134","16 188","15 116"
"","Cambodia [KH]","684 836","840 871","948 824","910 685","165 718","4 914","379 665","583 708","553 060","253 557"
"","Indonesia [ID]","558 499","576 110","644 709","709 578","99 033","2 577","235 632","762 118","876 610","787 524"
"","Lao PDR [LA]","1 414 916","1 682 087","1 664 630","1 854 719","380 917","733","502 124","919 401","1 124 202","868 368"
"","Malaysia [MY]","3 506 199","3 494 488","4 020 526","4 272 584","619 451","5 511","1 948 549","4 626 422","4 952 078","4 520 856"
"","Myanmar [MM]","363 871","365 606","368 188","378 232","54 709","7 256","193 778","394 134","546 629","688 678"
"","Philippines [PH]","323 860","381 252","432 237","506 306","71 796","4 078","178 021","461 251","598 124","704 575"
"","Singapore [SG]","1 163 309","1 032 647","1 069 867","1 056 582","126 879","5 931","614 627","1 027 424","1 009 640","967 341"
"","Timor-Leste [TL]","","","","","","","","","756",""
"","Total Country (World)","32 529 588","35 591 978","38 178 194","39 916 251","6 702 396","427 869","11 153 026","28 150 016","35 545 713","32 974 321"
"","Total Intra-ASEAN","8 897 291","9 322 508","10 191 391","10 751 957","1 652 593","32 820","4 526 645","9 822 280","10 661 535","9 466 401"
"","Viet Nam [VN]","863 807","935 179","1 028 150","1 047 663","132 514","1 794","468 393","1 033 688","984 248","660 386"
"Timor-Leste","Indonesia [ID]","","","15 523","9 183","1 802","383","209","9 481","12 358","3 504"
"","Malaysia [MY]","","","1 441","1 386","155","41","62","1 027","1 081","2 469"
"","Philippines [PH]","","","3 320","2 173","552","59","92","1 307","1 504","736"
"","Singapore [SG]","","","1 373","1 147","1 492","12","28","923","981","495"
"","Total Country (World)","","","74 661","74 851","17 879","5 499","3 718","75 550","96 718","59 436"
"","Total Intra-ASEAN","","","21 657","13 889","4 001","495","391","12 738","15 924","7 204"
"Viet Nam","Brunei Darussalam [BN]","","9 387","8 602","","","","","","",""
"","Cambodia [KH]","211 949","222 614","202 954","227 910","120 430","","200 907","402 062","474 580","687 132"
"","Indonesia [ID]","69 653","81 065","87 941","106 688","21 446","","36 084","105 380","184 093","207 196"
"","Lao PDR [LA]","137 004","141 588","120 009","98 492","36 810","","77 485","120 522","148 655","179 340"
"","Malaysia [MY]","407 574","480 456","540 119","606 206","116 221","","170 870","470 105","495 383","573 716"
"","Myanmar [MM]","","35 626","34 505","","","","","","",""
"","Philippines [PH]","110 967","133 543","151 641","179 190","36 969","","49 266","153 168","265 947","482 173"
"","Singapore [SG]","257 041","277 658","286 246","308 969","51 726","","178 861","328 195","347 495","401 420"
"","Thailand [TH]","266 984","301 587","349 310","509 802","125 725","","202 246","489 174","418 054","457 775"
"","Total Country (World)","10 012 735","12 922 151","15 497 791","18 008 591","3 686 779","3 500","3 661 222","12 602 434","17 583 900","21 168 291"
"","Total Intra-ASEAN","1 461 172","1 683 524","1 781 327","2 037 257","509 327","","915 719","2 068 606","2 334 207","2 988 752"
