SeriesCode,SeriesName,Domain,UnitOfMeasure
SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Lao động & Việc làm,% of total labor force ages 15-24
SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),Lao động & Việc làm,% of total employment
SL.IND.EMPL.ZS,Employment in industry (% of total employment) (modeled ILO estimate),Lao động & Việc làm,% of total employment
SL.SRV.EMPL.ZS,Employment in services (% of total employment) (modeled ILO estimate),Lao động & Việc làm,% of total employment
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",Y tế & Sức khỏe,years
SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),Y tế & Sức khỏe,% of GDP
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",Y tế & Sức khỏe,"per 1,000 live births"
SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)",Y tế & Sức khỏe,"per 1,000 live births"
SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)",Y tế & Sức khỏe,"per 1,000 live births"
SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Y tế & Sức khỏe,"modeled estimate, per 100,000 live births"
SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",Y tế & Sức khỏe,"national estimate, per 100,000 live births"
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",Y tế & Sức khỏe,"per 1,000 people"
SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",Y tế & Sức khỏe,"per 1,000 people"
