Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12930296870.1247,11400266044.6651,12128168045.1245,13566908391.0895,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,15095084656.1634,15340808592.48,15031980994.1121
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.392383749502031,-2.47791771833224,1.32872661057823,0.0523710418528935,3.86884436177075,1.1335733495246,-1.59076260099606,-1.62833154515108,1.12764418162719,4.05251709306727,0.66956214816436
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30625.1287744656,26663.2972950602,28024.3824580252,30988.1190267227,30426.5730656528,26834.3592233943,31006.9636289785,36632.9280952155,32890.5491812019,33153.4738913513,32234.6428368582
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.488347420743522,-0.278693265753083,-1.2605056462896,1.02505179290212,-0.390522069165529,1.94031996607184,1.73341388450593,3.68225030604216,0.35706431153689,-0.388674165036461,-0.302994414446762
Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,35.2473258617273,34.6202628541232,34.804760189414,41.0665959296934,38.6777534991209,40.5878302733583,31.2725676396553,25.8510429426901,29.6282073672206,27.8989646632704,27.1271902797812
Brunei Darussalam,BRN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,57.1182687749519,56.4115794432201,55.3364205017207,53.2133009127659,53.5317208322741,50.8859947205967,49.7343409455499,50.3806352832592,45.871344690754,47.6532634913652,45.3344398925132
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,24174170369.0738,26556545153.3573,29355665909.7905,33145892168.8958,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984,46352647037.2406,51267065842.9641
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.20703472529512,7.90550116130704,8.07503915535979,8.77622376224463,7.93695013588524,-3.55572193406549,3.08984284148661,5.12990110773977,5.00733043811898,6.0158145735202,5.34932084572877
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1547.32010444393,1675.19555711109,1826.35391688754,2036.67377566578,2225.87705485686,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,2627.87969756224,2872.42926639909
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.22393195511119,3.01913975139128,2.91263557371478,2.45908515380146,1.94257500833107,2.9402951426397,2.92073477592949,5.34370264895437,2.12746796594194,0.808042016536654,2.35127105896507
Cambodia,KHM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,28.0325110484223,27.4923946808839,50.3420177209934,..,..
Cambodia,KHM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,29.8714938168298,30.3850325759008,30.6334526919382,30.7394192448512,31.3945541935104,31.351227539335,30.3788112661952,34.5945264318735,33.2944796211269,32.1861316004857,31.5241909112165
